frequency (Hz),distance (ft),tx_gain (dBi),rx_gain (dBi),fspl (dB)
3650000000.0,1035,4,0,89.67496353833948
3650000000.0,1035,4,1,88.67496353833948
3650000000.0,1035,4,2,87.67496353833948
3650000000.0,1035,4,3,86.67496353833948
3650000000.0,1035,4,4,85.67496353833948
3650000000.0,1035,4,5,84.67496353833948
3650000000.0,1035,4,6,83.67496353833948
3650000000.0,1035,4,7,82.67496353833948
3650000000.0,1035,4,8,81.67496353833948
3650000000.0,1035,4,9,80.67496353833948
3650000000.0,1035,4,10,79.67496353833948
3650000000.0,1035,4,11,78.67496353833948
3650000000.0,1035,4,12,77.67496353833948
3650000000.0,1035,4,13,76.67496353833948
3650000000.0,1035,4,14,75.67496353833948
3650000000.0,1035,4,15,74.67496353833948
3650000000.0,1035,5,0,88.67496353833948
3650000000.0,1035,5,1,87.67496353833948
3650000000.0,1035,5,2,86.67496353833948
3650000000.0,1035,5,3,85.67496353833948
3650000000.0,1035,5,4,84.67496353833948
3650000000.0,1035,5,5,83.67496353833948
3650000000.0,1035,5,6,82.67496353833948
3650000000.0,1035,5,7,81.67496353833948
3650000000.0,1035,5,8,80.67496353833948
3650000000.0,1035,5,9,79.67496353833948
3650000000.0,1035,5,10,78.67496353833948
3650000000.0,1035,5,11,77.67496353833948
3650000000.0,1035,5,12,76.67496353833948
3650000000.0,1035,5,13,75.67496353833948
3650000000.0,1035,5,14,74.67496353833948
3650000000.0,1035,5,15,73.67496353833948
3650000000.0,1035,6,0,87.67496353833948
3650000000.0,1035,6,1,86.67496353833948
3650000000.0,1035,6,2,85.67496353833948
3650000000.0,1035,6,3,84.67496353833948
3650000000.0,1035,6,4,83.67496353833948
3650000000.0,1035,6,5,82.67496353833948
3650000000.0,1035,6,6,81.67496353833948
3650000000.0,1035,6,7,80.67496353833948
3650000000.0,1035,6,8,79.67496353833948
3650000000.0,1035,6,9,78.67496353833948
3650000000.0,1035,6,10,77.67496353833948
3650000000.0,1035,6,11,76.67496353833948
3650000000.0,1035,6,12,75.67496353833948
3650000000.0,1035,6,13,74.67496353833948
3650000000.0,1035,6,14,73.67496353833948
3650000000.0,1035,6,15,72.67496353833948
3650000000.0,1035,7,0,86.67496353833948
3650000000.0,1035,7,1,85.67496353833948
3650000000.0,1035,7,2,84.67496353833948
3650000000.0,1035,7,3,83.67496353833948
