frequency (Hz),distance (ft),tx_gain (dBi),rx_gain (dBi),fspl (dB)
3650000000.0,1035,7,4,82.67496353833948
3650000000.0,1035,7,5,81.67496353833948
3650000000.0,1035,7,6,80.67496353833948
3650000000.0,1035,7,7,79.67496353833948
3650000000.0,1035,7,8,78.67496353833948
3650000000.0,1035,7,9,77.67496353833948
3650000000.0,1035,7,10,76.67496353833948
3650000000.0,1035,7,11,75.67496353833948
3650000000.0,1035,7,12,74.67496353833948
3650000000.0,1035,7,13,73.67496353833948
3650000000.0,1035,7,14,72.67496353833948
3650000000.0,1035,7,15,71.67496353833948
3650000000.0,1035,8,0,85.67496353833948
3650000000.0,1035,8,1,84.67496353833948
3650000000.0,1035,8,2,83.67496353833948
3650000000.0,1035,8,3,82.67496353833948
3650000000.0,1035,8,4,81.67496353833948
3650000000.0,1035,8,5,80.67496353833948
3650000000.0,1035,8,6,79.67496353833948
3650000000.0,1035,8,7,78.67496353833948
3650000000.0,1035,8,8,77.67496353833948
3650000000.0,1035,8,9,76.67496353833948
3650000000.0,1035,8,10,75.67496353833948
3650000000.0,1035,8,11,74.67496353833948
3650000000.0,1035,8,12,73.67496353833948
3650000000.0,1035,8,13,72.67496353833948
3650000000.0,1035,8,14,71.67496353833948
3650000000.0,1035,8,15,70.67496353833948
3650000000.0,1035,9,0,84.67496353833948
3650000000.0,1035,9,1,83.67496353833948
3650000000.0,1035,9,2,82.67496353833948
3650000000.0,1035,9,3,81.67496353833948
3650000000.0,1035,9,4,80.67496353833948
3650000000.0,1035,9,5,79.67496353833948
3650000000.0,1035,9,6,78.67496353833948
3650000000.0,1035,9,7,77.67496353833948
3650000000.0,1035,9,8,76.67496353833948
3650000000.0,1035,9,9,75.67496353833948
3650000000.0,1035,9,10,74.67496353833948
3650000000.0,1035,9,11,73.67496353833948
3650000000.0,1035,9,12,72.67496353833948
3650000000.0,1035,9,13,71.67496353833948
3650000000.0,1035,9,14,70.67496353833948
3650000000.0,1035,9,15,69.67496353833948
3650000000.0,1035,10,0,83.67496353833948
3650000000.0,1035,10,1,82.67496353833948
3650000000.0,1035,10,2,81.67496353833948
3650000000.0,1035,10,3,80.67496353833948
3650000000.0,1035,10,4,79.67496353833948
3650000000.0,1035,10,5,78.67496353833948
3650000000.0,1035,10,6,77.67496353833948
3650000000.0,1035,10,7,76.67496353833948
3650000000.0,1035,10,8,75.67496353833948
3650000000.0,1035,10,9,74.67496353833948
3650000000.0,1035,10,10,73.67496353833948
3650000000.0,1035,10,11,72.67496353833948
3650000000.0,1035,10,12,71.67496353833948
3650000000.0,1035,10,13,70.67496353833948
3650000000.0,1035,10,14,69.67496353833948
3650000000.0,1035,10,15,68.67496353833948
3650000000.0,1035,11,0,82.67496353833948
3650000000.0,1035,11,1,81.67496353833948
3650000000.0,1035,11,2,80.67496353833948
3650000000.0,1035,11,3,79.67496353833948
3650000000.0,1035,11,4,78.67496353833948
3650000000.0,1035,11,5,77.67496353833948
3650000000.0,1035,11,6,76.67496353833948
3650000000.0,1035,11,7,75.67496353833948
3650000000.0,1035,11,8,74.67496353833948
3650000000.0,1035,11,9,73.67496353833948
3650000000.0,1035,11,10,72.67496353833948
3650000000.0,1035,11,11,71.67496353833948
3650000000.0,1035,11,12,70.67496353833948
3650000000.0,1035,11,13,69.67496353833948
3650000000.0,1035,11,14,68.67496353833948
3650000000.0,1035,11,15,67.67496353833948
3650000000.0,1035,12,0,81.67496353833948
3650000000.0,1035,12,1,80.67496353833948
3650000000.0,1035,12,2,79.67496353833948
3650000000.0,1035,12,3,78.67496353833948
3650000000.0,1035,12,4,77.67496353833948
3650000000.0,1035,12,5,76.67496353833948
3650000000.0,1035,12,6,75.67496353833948
3650000000.0,1035,12,7,74.67496353833948
3650000000.0,1035,12,8,73.67496353833948
3650000000.0,1035,12,9,72.67496353833948
3650000000.0,1035,12,10,71.67496353833948
3650000000.0,1035,12,11,70.67496353833948
3650000000.0,1035,12,12,69.67496353833948
3650000000.0,1035,12,13,68.67496353833948
3650000000.0,1035,12,14,67.67496353833948
3650000000.0,1035,12,15,66.67496353833948
3650000000.0,1035,13,0,80.67496353833948
3650000000.0,1035,13,1,79.67496353833948
3650000000.0,1035,13,2,78.67496353833948
3650000000.0,1035,13,3,77.67496353833948
3650000000.0,1035,13,4,76.67496353833948
3650000000.0,1035,13,5,75.67496353833948
3650000000.0,1035,13,6,74.67496353833948
3650000000.0,1035,13,7,73.67496353833948
3650000000.0,1035,13,8,72.67496353833948
3650000000.0,1035,13,9,71.67496353833948
3650000000.0,1035,13,10,70.67496353833948
3650000000.0,1035,13,11,69.67496353833948
3650000000.0,1035,13,12,68.67496353833948
3650000000.0,1035,13,13,67.67496353833948
3650000000.0,1035,13,14,66.67496353833948
3650000000.0,1035,13,15,65.67496353833948
3650000000.0,1035,14,0,79.67496353833948
3650000000.0,1035,14,1,78.67496353833948
3650000000.0,1035,14,2,77.67496353833948
3650000000.0,1035,14,3,76.67496353833948
3650000000.0,1035,14,4,75.67496353833948
3650000000.0,1035,14,5,74.67496353833948
3650000000.0,1035,14,6,73.67496353833948
3650000000.0,1035,14,7,72.67496353833948
3650000000.0,1035,14,8,71.67496353833948
3650000000.0,1035,14,9,70.67496353833948
3650000000.0,1035,14,10,69.67496353833948
3650000000.0,1035,14,11,68.67496353833948
3650000000.0,1035,14,12,67.67496353833948
3650000000.0,1035,14,13,66.67496353833948
3650000000.0,1035,14,14,65.67496353833948
3650000000.0,1035,14,15,64.67496353833948
3650000000.0,1035,15,0,78.67496353833948
3650000000.0,1035,15,1,77.67496353833948
3650000000.0,1035,15,2,76.67496353833948
3650000000.0,1035,15,3,75.67496353833948
3650000000.0,1035,15,4,74.67496353833948
3650000000.0,1035,15,5,73.67496353833948
3650000000.0,1035,15,6,72.67496353833948
3650000000.0,1035,15,7,71.67496353833948
3650000000.0,1035,15,8,70.67496353833948
3650000000.0,1035,15,9,69.67496353833948
3650000000.0,1035,15,10,68.67496353833948
3650000000.0,1035,15,11,67.67496353833948
3650000000.0,1035,15,12,66.67496353833948
3650000000.0,1035,15,13,65.67496353833948
3650000000.0,1035,15,14,64.67496353833948
3650000000.0,1035,15,15,63.67496353833948
3650000000.0,1040,0,0,93.71682332845637
3650000000.0,1040,0,1,92.71682332845637
3650000000.0,1040,0,2,91.71682332845637
3650000000.0,1040,0,3,90.71682332845637
3650000000.0,1040,0,4,89.71682332845637
3650000000.0,1040,0,5,88.71682332845637
3650000000.0,1040,0,6,87.71682332845637
3650000000.0,1040,0,7,86.71682332845637
3650000000.0,1040,0,8,85.71682332845637
3650000000.0,1040,0,9,84.71682332845637
3650000000.0,1040,0,10,83.71682332845637
3650000000.0,1040,0,11,82.71682332845637
3650000000.0,1040,0,12,81.71682332845637
3650000000.0,1040,0,13,80.71682332845637
3650000000.0,1040,0,14,79.71682332845637
3650000000.0,1040,0,15,78.71682332845637
3650000000.0,1040,1,0,92.71682332845637
3650000000.0,1040,1,1,91.71682332845637
3650000000.0,1040,1,2,90.71682332845637
3650000000.0,1040,1,3,89.71682332845637
3650000000.0,1040,1,4,88.71682332845637
3650000000.0,1040,1,5,87.71682332845637
3650000000.0,1040,1,6,86.71682332845637
3650000000.0,1040,1,7,85.71682332845637
3650000000.0,1040,1,8,84.71682332845637
3650000000.0,1040,1,9,83.71682332845637
3650000000.0,1040,1,10,82.71682332845637
3650000000.0,1040,1,11,81.71682332845637
3650000000.0,1040,1,12,80.71682332845637
3650000000.0,1040,1,13,79.71682332845637
3650000000.0,1040,1,14,78.71682332845637
3650000000.0,1040,1,15,77.71682332845637
3650000000.0,1040,2,0,91.71682332845637
3650000000.0,1040,2,1,90.71682332845637
3650000000.0,1040,2,2,89.71682332845637
3650000000.0,1040,2,3,88.71682332845637
3650000000.0,1040,2,4,87.71682332845637
3650000000.0,1040,2,5,86.71682332845637
3650000000.0,1040,2,6,85.71682332845637
3650000000.0,1040,2,7,84.71682332845637
3650000000.0,1040,2,8,83.71682332845637
3650000000.0,1040,2,9,82.71682332845637
3650000000.0,1040,2,10,81.71682332845637
3650000000.0,1040,2,11,80.71682332845637
3650000000.0,1040,2,12,79.71682332845637
3650000000.0,1040,2,13,78.71682332845637
3650000000.0,1040,2,14,77.71682332845637
3650000000.0,1040,2,15,76.71682332845637
3650000000.0,1040,3,0,90.71682332845637
3650000000.0,1040,3,1,89.71682332845637
3650000000.0,1040,3,2,88.71682332845637
3650000000.0,1040,3,3,87.71682332845637
3650000000.0,1040,3,4,86.71682332845637
3650000000.0,1040,3,5,85.71682332845637
3650000000.0,1040,3,6,84.71682332845637
3650000000.0,1040,3,7,83.71682332845637
3650000000.0,1040,3,8,82.71682332845637
3650000000.0,1040,3,9,81.71682332845637
3650000000.0,1040,3,10,80.71682332845637
3650000000.0,1040,3,11,79.71682332845637
3650000000.0,1040,3,12,78.71682332845637
3650000000.0,1040,3,13,77.71682332845637
3650000000.0,1040,3,14,76.71682332845637
3650000000.0,1040,3,15,75.71682332845637
3650000000.0,1040,4,0,89.71682332845637
3650000000.0,1040,4,1,88.71682332845637
3650000000.0,1040,4,2,87.71682332845637
3650000000.0,1040,4,3,86.71682332845637
3650000000.0,1040,4,4,85.71682332845637
3650000000.0,1040,4,5,84.71682332845637
3650000000.0,1040,4,6,83.71682332845637
3650000000.0,1040,4,7,82.71682332845637
3650000000.0,1040,4,8,81.71682332845637
3650000000.0,1040,4,9,80.71682332845637
3650000000.0,1040,4,10,79.71682332845637
3650000000.0,1040,4,11,78.71682332845637
3650000000.0,1040,4,12,77.71682332845637
3650000000.0,1040,4,13,76.71682332845637
3650000000.0,1040,4,14,75.71682332845637
3650000000.0,1040,4,15,74.71682332845637
3650000000.0,1040,5,0,88.71682332845637
3650000000.0,1040,5,1,87.71682332845637
3650000000.0,1040,5,2,86.71682332845637
3650000000.0,1040,5,3,85.71682332845637
3650000000.0,1040,5,4,84.71682332845637
3650000000.0,1040,5,5,83.71682332845637
3650000000.0,1040,5,6,82.71682332845637
3650000000.0,1040,5,7,81.71682332845637
3650000000.0,1040,5,8,80.71682332845637
3650000000.0,1040,5,9,79.71682332845637
3650000000.0,1040,5,10,78.71682332845637
3650000000.0,1040,5,11,77.71682332845637
3650000000.0,1040,5,12,76.71682332845637
3650000000.0,1040,5,13,75.71682332845637
3650000000.0,1040,5,14,74.71682332845637
3650000000.0,1040,5,15,73.71682332845637
3650000000.0,1040,6,0,87.71682332845637
3650000000.0,1040,6,1,86.71682332845637
3650000000.0,1040,6,2,85.71682332845637
3650000000.0,1040,6,3,84.71682332845637
3650000000.0,1040,6,4,83.71682332845637
3650000000.0,1040,6,5,82.71682332845637
3650000000.0,1040,6,6,81.71682332845637
3650000000.0,1040,6,7,80.71682332845637
3650000000.0,1040,6,8,79.71682332845637
3650000000.0,1040,6,9,78.71682332845637
3650000000.0,1040,6,10,77.71682332845637
3650000000.0,1040,6,11,76.71682332845637
3650000000.0,1040,6,12,75.71682332845637
3650000000.0,1040,6,13,74.71682332845637
3650000000.0,1040,6,14,73.71682332845637
3650000000.0,1040,6,15,72.71682332845637
3650000000.0,1040,7,0,86.71682332845637
3650000000.0,1040,7,1,85.71682332845637
3650000000.0,1040,7,2,84.71682332845637
3650000000.0,1040,7,3,83.71682332845637
3650000000.0,1040,7,4,82.71682332845637
3650000000.0,1040,7,5,81.71682332845637
3650000000.0,1040,7,6,80.71682332845637
3650000000.0,1040,7,7,79.71682332845637
3650000000.0,1040,7,8,78.71682332845637
3650000000.0,1040,7,9,77.71682332845637
3650000000.0,1040,7,10,76.71682332845637
3650000000.0,1040,7,11,75.71682332845637
3650000000.0,1040,7,12,74.71682332845637
3650000000.0,1040,7,13,73.71682332845637
3650000000.0,1040,7,14,72.71682332845637
3650000000.0,1040,7,15,71.71682332845637
3650000000.0,1040,8,0,85.71682332845637
3650000000.0,1040,8,1,84.71682332845637
3650000000.0,1040,8,2,83.71682332845637
3650000000.0,1040,8,3,82.71682332845637
3650000000.0,1040,8,4,81.71682332845637
3650000000.0,1040,8,5,80.71682332845637
3650000000.0,1040,8,6,79.71682332845637
3650000000.0,1040,8,7,78.71682332845637
3650000000.0,1040,8,8,77.71682332845637
3650000000.0,1040,8,9,76.71682332845637
3650000000.0,1040,8,10,75.71682332845637
3650000000.0,1040,8,11,74.71682332845637
3650000000.0,1040,8,12,73.71682332845637
3650000000.0,1040,8,13,72.71682332845637
3650000000.0,1040,8,14,71.71682332845637
3650000000.0,1040,8,15,70.71682332845637
3650000000.0,1040,9,0,84.71682332845637
3650000000.0,1040,9,1,83.71682332845637
3650000000.0,1040,9,2,82.71682332845637
3650000000.0,1040,9,3,81.71682332845637
3650000000.0,1040,9,4,80.71682332845637
3650000000.0,1040,9,5,79.71682332845637
3650000000.0,1040,9,6,78.71682332845637
3650000000.0,1040,9,7,77.71682332845637
3650000000.0,1040,9,8,76.71682332845637
3650000000.0,1040,9,9,75.71682332845637
3650000000.0,1040,9,10,74.71682332845637
3650000000.0,1040,9,11,73.71682332845637
3650000000.0,1040,9,12,72.71682332845637
3650000000.0,1040,9,13,71.71682332845637
3650000000.0,1040,9,14,70.71682332845637
3650000000.0,1040,9,15,69.71682332845637
3650000000.0,1040,10,0,83.71682332845637
3650000000.0,1040,10,1,82.71682332845637
3650000000.0,1040,10,2,81.71682332845637
3650000000.0,1040,10,3,80.71682332845637
3650000000.0,1040,10,4,79.71682332845637
3650000000.0,1040,10,5,78.71682332845637
3650000000.0,1040,10,6,77.71682332845637
3650000000.0,1040,10,7,76.71682332845637
3650000000.0,1040,10,8,75.71682332845637
3650000000.0,1040,10,9,74.71682332845637
3650000000.0,1040,10,10,73.71682332845637
3650000000.0,1040,10,11,72.71682332845637
3650000000.0,1040,10,12,71.71682332845637
3650000000.0,1040,10,13,70.71682332845637
3650000000.0,1040,10,14,69.71682332845637
3650000000.0,1040,10,15,68.71682332845637
3650000000.0,1040,11,0,82.71682332845637
3650000000.0,1040,11,1,81.71682332845637
3650000000.0,1040,11,2,80.71682332845637
3650000000.0,1040,11,3,79.71682332845637
3650000000.0,1040,11,4,78.71682332845637
3650000000.0,1040,11,5,77.71682332845637
3650000000.0,1040,11,6,76.71682332845637
3650000000.0,1040,11,7,75.71682332845637
3650000000.0,1040,11,8,74.71682332845637
3650000000.0,1040,11,9,73.71682332845637
3650000000.0,1040,11,10,72.71682332845637
3650000000.0,1040,11,11,71.71682332845637
3650000000.0,1040,11,12,70.71682332845637
3650000000.0,1040,11,13,69.71682332845637
3650000000.0,1040,11,14,68.71682332845637
3650000000.0,1040,11,15,67.71682332845637
3650000000.0,1040,12,0,81.71682332845637
3650000000.0,1040,12,1,80.71682332845637
3650000000.0,1040,12,2,79.71682332845637
3650000000.0,1040,12,3,78.71682332845637
3650000000.0,1040,12,4,77.71682332845637
3650000000.0,1040,12,5,76.71682332845637
3650000000.0,1040,12,6,75.71682332845637
3650000000.0,1040,12,7,74.71682332845637
3650000000.0,1040,12,8,73.71682332845637
3650000000.0,1040,12,9,72.71682332845637
3650000000.0,1040,12,10,71.71682332845637
3650000000.0,1040,12,11,70.71682332845637
3650000000.0,1040,12,12,69.71682332845637
3650000000.0,1040,12,13,68.71682332845637
3650000000.0,1040,12,14,67.71682332845637
3650000000.0,1040,12,15,66.71682332845637
3650000000.0,1040,13,0,80.71682332845637
3650000000.0,1040,13,1,79.71682332845637
3650000000.0,1040,13,2,78.71682332845637
3650000000.0,1040,13,3,77.71682332845637
3650000000.0,1040,13,4,76.71682332845637
3650000000.0,1040,13,5,75.71682332845637
3650000000.0,1040,13,6,74.71682332845637
3650000000.0,1040,13,7,73.71682332845637
3650000000.0,1040,13,8,72.71682332845637
3650000000.0,1040,13,9,71.71682332845637
3650000000.0,1040,13,10,70.71682332845637
3650000000.0,1040,13,11,69.71682332845637
3650000000.0,1040,13,12,68.71682332845637
3650000000.0,1040,13,13,67.71682332845637
3650000000.0,1040,13,14,66.71682332845637
3650000000.0,1040,13,15,65.71682332845637
3650000000.0,1040,14,0,79.71682332845637
3650000000.0,1040,14,1,78.71682332845637
3650000000.0,1040,14,2,77.71682332845637
3650000000.0,1040,14,3,76.71682332845637
3650000000.0,1040,14,4,75.71682332845637
3650000000.0,1040,14,5,74.71682332845637
3650000000.0,1040,14,6,73.71682332845637
3650000000.0,1040,14,7,72.71682332845637
3650000000.0,1040,14,8,71.71682332845637
3650000000.0,1040,14,9,70.71682332845637
3650000000.0,1040,14,10,69.71682332845637
3650000000.0,1040,14,11,68.71682332845637
3650000000.0,1040,14,12,67.71682332845637
3650000000.0,1040,14,13,66.71682332845637
3650000000.0,1040,14,14,65.71682332845637
3650000000.0,1040,14,15,64.71682332845637
3650000000.0,1040,15,0,78.71682332845637
3650000000.0,1040,15,1,77.71682332845637
3650000000.0,1040,15,2,76.71682332845637
3650000000.0,1040,15,3,75.71682332845637
3650000000.0,1040,15,4,74.71682332845637
3650000000.0,1040,15,5,73.71682332845637
3650000000.0,1040,15,6,72.71682332845637
3650000000.0,1040,15,7,71.71682332845637
3650000000.0,1040,15,8,70.71682332845637
3650000000.0,1040,15,9,69.71682332845637
3650000000.0,1040,15,10,68.71682332845637
3650000000.0,1040,15,11,67.71682332845637
3650000000.0,1040,15,12,66.71682332845637
3650000000.0,1040,15,13,65.71682332845637
3650000000.0,1040,15,14,64.71682332845637
3650000000.0,1040,15,15,63.71682332845637
3650000000.0,1045,0,0,93.7584823514222
3650000000.0,1045,0,1,92.7584823514222
3650000000.0,1045,0,2,91.7584823514222
3650000000.0,1045,0,3,90.7584823514222
3650000000.0,1045,0,4,89.7584823514222
3650000000.0,1045,0,5,88.7584823514222
3650000000.0,1045,0,6,87.7584823514222
3650000000.0,1045,0,7,86.7584823514222
3650000000.0,1045,0,8,85.7584823514222
3650000000.0,1045,0,9,84.7584823514222
3650000000.0,1045,0,10,83.7584823514222
3650000000.0,1045,0,11,82.7584823514222
3650000000.0,1045,0,12,81.7584823514222
3650000000.0,1045,0,13,80.7584823514222
3650000000.0,1045,0,14,79.7584823514222
3650000000.0,1045,0,15,78.7584823514222
3650000000.0,1045,1,0,92.7584823514222
3650000000.0,1045,1,1,91.7584823514222
3650000000.0,1045,1,2,90.7584823514222
3650000000.0,1045,1,3,89.7584823514222
3650000000.0,1045,1,4,88.7584823514222
3650000000.0,1045,1,5,87.7584823514222
3650000000.0,1045,1,6,86.7584823514222
3650000000.0,1045,1,7,85.7584823514222
3650000000.0,1045,1,8,84.7584823514222
3650000000.0,1045,1,9,83.7584823514222
3650000000.0,1045,1,10,82.7584823514222
3650000000.0,1045,1,11,81.7584823514222
3650000000.0,1045,1,12,80.7584823514222
3650000000.0,1045,1,13,79.7584823514222
3650000000.0,1045,1,14,78.7584823514222
3650000000.0,1045,1,15,77.7584823514222
3650000000.0,1045,2,0,91.7584823514222
3650000000.0,1045,2,1,90.7584823514222
3650000000.0,1045,2,2,89.7584823514222
3650000000.0,1045,2,3,88.7584823514222
3650000000.0,1045,2,4,87.7584823514222
3650000000.0,1045,2,5,86.7584823514222
3650000000.0,1045,2,6,85.7584823514222
3650000000.0,1045,2,7,84.7584823514222
3650000000.0,1045,2,8,83.7584823514222
3650000000.0,1045,2,9,82.7584823514222
3650000000.0,1045,2,10,81.7584823514222
3650000000.0,1045,2,11,80.7584823514222
3650000000.0,1045,2,12,79.7584823514222
3650000000.0,1045,2,13,78.7584823514222
3650000000.0,1045,2,14,77.7584823514222
3650000000.0,1045,2,15,76.7584823514222
3650000000.0,1045,3,0,90.7584823514222
3650000000.0,1045,3,1,89.7584823514222
3650000000.0,1045,3,2,88.7584823514222
3650000000.0,1045,3,3,87.7584823514222
3650000000.0,1045,3,4,86.7584823514222
3650000000.0,1045,3,5,85.7584823514222
3650000000.0,1045,3,6,84.7584823514222
3650000000.0,1045,3,7,83.7584823514222
3650000000.0,1045,3,8,82.7584823514222
3650000000.0,1045,3,9,81.7584823514222
3650000000.0,1045,3,10,80.7584823514222
3650000000.0,1045,3,11,79.7584823514222
3650000000.0,1045,3,12,78.7584823514222
3650000000.0,1045,3,13,77.7584823514222
3650000000.0,1045,3,14,76.7584823514222
3650000000.0,1045,3,15,75.7584823514222
3650000000.0,1045,4,0,89.7584823514222
3650000000.0,1045,4,1,88.7584823514222
3650000000.0,1045,4,2,87.7584823514222
3650000000.0,1045,4,3,86.7584823514222
3650000000.0,1045,4,4,85.7584823514222
3650000000.0,1045,4,5,84.7584823514222
3650000000.0,1045,4,6,83.7584823514222
3650000000.0,1045,4,7,82.7584823514222
3650000000.0,1045,4,8,81.7584823514222
3650000000.0,1045,4,9,80.7584823514222
3650000000.0,1045,4,10,79.7584823514222
3650000000.0,1045,4,11,78.7584823514222
3650000000.0,1045,4,12,77.7584823514222
3650000000.0,1045,4,13,76.7584823514222
3650000000.0,1045,4,14,75.7584823514222
3650000000.0,1045,4,15,74.7584823514222
3650000000.0,1045,5,0,88.7584823514222
3650000000.0,1045,5,1,87.7584823514222
3650000000.0,1045,5,2,86.7584823514222
3650000000.0,1045,5,3,85.7584823514222
3650000000.0,1045,5,4,84.7584823514222
3650000000.0,1045,5,5,83.7584823514222
3650000000.0,1045,5,6,82.7584823514222
3650000000.0,1045,5,7,81.7584823514222
3650000000.0,1045,5,8,80.7584823514222
3650000000.0,1045,5,9,79.7584823514222
3650000000.0,1045,5,10,78.7584823514222
3650000000.0,1045,5,11,77.7584823514222
3650000000.0,1045,5,12,76.7584823514222
3650000000.0,1045,5,13,75.7584823514222
3650000000.0,1045,5,14,74.7584823514222
3650000000.0,1045,5,15,73.7584823514222
3650000000.0,1045,6,0,87.7584823514222
3650000000.0,1045,6,1,86.7584823514222
3650000000.0,1045,6,2,85.7584823514222
3650000000.0,1045,6,3,84.7584823514222
3650000000.0,1045,6,4,83.7584823514222
3650000000.0,1045,6,5,82.7584823514222
3650000000.0,1045,6,6,81.7584823514222
3650000000.0,1045,6,7,80.7584823514222
3650000000.0,1045,6,8,79.7584823514222
3650000000.0,1045,6,9,78.7584823514222
3650000000.0,1045,6,10,77.7584823514222
3650000000.0,1045,6,11,76.7584823514222
3650000000.0,1045,6,12,75.7584823514222
3650000000.0,1045,6,13,74.7584823514222
3650000000.0,1045,6,14,73.7584823514222
3650000000.0,1045,6,15,72.7584823514222
3650000000.0,1045,7,0,86.7584823514222
3650000000.0,1045,7,1,85.7584823514222
3650000000.0,1045,7,2,84.7584823514222
3650000000.0,1045,7,3,83.7584823514222
3650000000.0,1045,7,4,82.7584823514222
3650000000.0,1045,7,5,81.7584823514222
3650000000.0,1045,7,6,80.7584823514222
3650000000.0,1045,7,7,79.7584823514222
3650000000.0,1045,7,8,78.7584823514222
3650000000.0,1045,7,9,77.7584823514222
3650000000.0,1045,7,10,76.7584823514222
3650000000.0,1045,7,11,75.7584823514222
3650000000.0,1045,7,12,74.7584823514222
3650000000.0,1045,7,13,73.7584823514222
3650000000.0,1045,7,14,72.7584823514222
3650000000.0,1045,7,15,71.7584823514222
3650000000.0,1045,8,0,85.7584823514222
3650000000.0,1045,8,1,84.7584823514222
3650000000.0,1045,8,2,83.7584823514222
3650000000.0,1045,8,3,82.7584823514222
3650000000.0,1045,8,4,81.7584823514222
3650000000.0,1045,8,5,80.7584823514222
3650000000.0,1045,8,6,79.7584823514222
3650000000.0,1045,8,7,78.7584823514222
3650000000.0,1045,8,8,77.7584823514222
3650000000.0,1045,8,9,76.7584823514222
3650000000.0,1045,8,10,75.7584823514222
3650000000.0,1045,8,11,74.7584823514222
3650000000.0,1045,8,12,73.7584823514222
3650000000.0,1045,8,13,72.7584823514222
3650000000.0,1045,8,14,71.7584823514222
3650000000.0,1045,8,15,70.7584823514222
3650000000.0,1045,9,0,84.7584823514222
3650000000.0,1045,9,1,83.7584823514222
3650000000.0,1045,9,2,82.7584823514222
3650000000.0,1045,9,3,81.7584823514222
3650000000.0,1045,9,4,80.7584823514222
3650000000.0,1045,9,5,79.7584823514222
3650000000.0,1045,9,6,78.7584823514222
3650000000.0,1045,9,7,77.7584823514222
3650000000.0,1045,9,8,76.7584823514222
3650000000.0,1045,9,9,75.7584823514222
3650000000.0,1045,9,10,74.7584823514222
3650000000.0,1045,9,11,73.7584823514222
3650000000.0,1045,9,12,72.7584823514222
3650000000.0,1045,9,13,71.7584823514222
3650000000.0,1045,9,14,70.7584823514222
3650000000.0,1045,9,15,69.7584823514222
3650000000.0,1045,10,0,83.7584823514222
3650000000.0,1045,10,1,82.7584823514222
3650000000.0,1045,10,2,81.7584823514222
3650000000.0,1045,10,3,80.7584823514222
3650000000.0,1045,10,4,79.7584823514222
3650000000.0,1045,10,5,78.7584823514222
3650000000.0,1045,10,6,77.7584823514222
3650000000.0,1045,10,7,76.7584823514222
3650000000.0,1045,10,8,75.7584823514222
3650000000.0,1045,10,9,74.7584823514222
3650000000.0,1045,10,10,73.7584823514222
3650000000.0,1045,10,11,72.7584823514222
3650000000.0,1045,10,12,71.7584823514222
3650000000.0,1045,10,13,70.7584823514222
3650000000.0,1045,10,14,69.7584823514222
3650000000.0,1045,10,15,68.7584823514222
3650000000.0,1045,11,0,82.7584823514222
3650000000.0,1045,11,1,81.7584823514222
3650000000.0,1045,11,2,80.7584823514222
3650000000.0,1045,11,3,79.7584823514222
3650000000.0,1045,11,4,78.7584823514222
3650000000.0,1045,11,5,77.7584823514222
3650000000.0,1045,11,6,76.7584823514222
3650000000.0,1045,11,7,75.7584823514222
